Blue Planes
id,x_position,y_position,z_position,fuel
1,29.9827459485144,17.994801822036386,6.425016783446705,57.74209841053995
2,64.97075576303246,3.4563484710765424,5.493189474098933,77.84446849562357
3,7.12149664398305,65.68013931692893,1.3055700241743418,58.28271474006169
4,89.52453739719259,27.237010060420165,0.6967049227598632,68.94776974082018
5,91.22054659035398,39.78571464089118,0.07426174780068018,83.12242082224574
Weapons
plane_id,range,kinematics,expiring_factor
1,100,1.145372104125198,1.6476001849516178
1,200,1.934668563005764,1.302413951580915
1,300,1.7359706879416226,1.949306557846685
1,400,1.5681039707622895,1.9960830617686112
1,500,1.2723562843752443,1.62717638430391
2,100,1.1790104939913038,1.341791397839374
2,200,1.0831985401408848,1.7757536359138892
2,300,1.8064093367807728,1.1320341620779586
2,100,1.9115457114516803,1.6163062069376584
2,100,1.8774559363928809,1.6884882180802054
3,200,1.3433265441433535,1.7841409493862264
3,300,1.39923001937644,1.1399996527875182
3,500,1.672677226903068,1.1633406700026403
3,500,1.2257997261280615,1.8409458752961265
3,100,1.0659117445264585,1.4820970899288635
4,100,1.5368000675973965,1.439927812765467
4,100,1.417065609871154,1.244156216184089
4,500,1.6662262211657497,1.4870757874443123
4,500,1.3170055867643478,1.9306806379830337
4,500,1.7621787435715692,1.3707809334130552
5,200,1.6741756299245953,1.5240939438181713
5,300,1.146798740442014,1.7706749912683202
5,200,1.0663782115177063,1.9854514685942446
5,400,1.608253043206206,1.857013097363497
5,100,1.121824753161992,1.5746930984218874
Targets
id,x_position,y_position,z_position
1,59.61188524498798,12.081454721712703,10.402740196060051
2,65.7067194071891,3.5537156740158005,69.93482831215351
3,44.48538557755805,3.119087104619289,59.40293777760054
4,12.4302290823188,29.045560588670917,17.483960639166256
5,15.898650496664345,70.88557603648854,54.83004896379763
6,4.291042777754594,63.0115087554225,63.924773634904795
7,89.22961506550874,64.27926131822787,72.86950118998979
8,48.779319391826505,11.526674343189903,95.8983738688928
9,54.736534773503564,85.92320196598868,90.94993899208811
10,8.348014622223953,63.59161163637283,43.0313341673978
11,36.85831169084919,63.46550931003587,89.45141121838772
12,4.2842294397971825,44.15438974318342,12.6683617886369
13,57.959199551109904,74.38140798965233,85.57414757959194
14,21.949561556126206,79.53566814746699,68.33819635879577
15,55.580109679712244,52.69967822985861,10.944793597057808
16,71.62955658409766,74.72935586183125,46.100972763193006
17,0.5033227807027418,87.35778936624386,34.70580118205574
18,3.560021937293578,30.359313688604818,21.576797310466077
19,8.87506803967215,49.56590527770853,71.9724369898727
20,22.460266051001476,39.043571275031354,23.350809052293528
