Blue Planes
id,x_position,y_position,z_position,fuel
1,75.33254682025849,80.71886382838223,9.05301401263568,73.78528721601172
2,32.23193798582611,70.13025907223121,9.465577601411931,76.93680614103465
3,9.242855823020047,88.73122329531982,7.588786040171196,76.82074869022239
4,35.65089552666092,6.7553046688847544,6.967848448962547,72.84382434005414
5,80.38789281714932,23.316401380299634,5.5513903034592404,43.876670149681914
6,16.460100450197213,38.1922221815489,1.8876482220403457,89.43332224208174
7,21.198605658808447,92.37415451805907,9.32396886729224,55.346271025861505
8,13.709102617886881,30.718373180375547,3.9893268915547586,93.2928865541435
9,41.717852429660915,55.77126560822706,6.483003890159106,79.38749223122458
10,68.39911694787833,2.6532680313318235,9.776751507579581,30
Weapons
plane_id,range,kinematics,expiring_factor
1,100,1.0731152266432868,1.2230737994680392
1,200,1.4924609230634633,1.3121582164600865
1,300,1.7853215589698248,1.6529381998084778
1,400,1.9508189493870978,1.2461785189964214
1,500,1.0706416208278875,1.166724667245202
2,100,1.5758805535465568,1.9809182624628683
2,200,1.9962958631805716,1.8541084956371587
2,300,1.186510366379616,1.9342611754539898
2,100,1.4530712859673864,1.0287348818513475
2,100,1.6716793306278164,1.8526988162740166
3,200,1.4540912960981083,1.5658112728202913
3,300,1.6644871423105692,1.583517465763475
3,500,1.9199642614360088,1.9228848460964296
3,500,1.4315811333954716,1.0629326491261768
3,100,1.820413521300866,1.7622874021388424
4,100,1.8582442357621027,1.8095976824832967
4,100,1.6677364003301112,1.4148320732357291
4,500,1.745826510133313,1.8168479584551653
4,500,1.6396047184835378,1.6862878128462366
4,500,1.7516514263432899,1.604720259602242
5,200,1.234355414754892,1.052312887505587
5,300,1.5723552736502004,1.3370326799125676
5,200,1.7004890531979107,1.673155974029907
5,400,1.9907123335461643,1.3795743443733217
5,100,1.856188490289283,1.9204655480257373
6,600,1.9909561458743656,1.869139872696346
6,600,1.2666851920253603,1.8046100930977031
6,600,1.274121440732995,1.1606270997964447
6,600,1.0193887761838225,1.3257931913317664
6,600,1.752253650889247,1.6012437548919052
7,400,1.0551478796757345,1.6292950185287747
7,600,1.7420115676465278,1.0249601732779505
7,100,1.315001273470958,1.885111216554252
7,600,1.7928480058255958,1.350761216897582
7,200,1.4395879517432317,1.5804581549575896
8,500,1.3395627653809319,1.1472925583402387
8,500,1.5260017981139644,1.2001985363573298
8,500,1.7425189539423374,1.1627374553757037
8,500,1.8898864444084027,1.4383355823677526
8,500,1.8017088473621814,1.8866163642050418
9,300,1.1748634386336128,1.438977611204677
9,300,1.3721958171557453,1.6894307929650676
9,400,1.0254812466678356,1.7163933450965212
9,600,1.859194277226564,1.7601515850193692
9,500,1.940152849970832,1.4296247447241723
10,1000,1.4956665640050035,1.6078798078340413
10,1000,1.4335063831842199,1.6269819939285142
10,1000,1.4795261283258505,1.421758116774357
10,1000,1.864185229769683,1.8630836627564
10,1000,1.5096542319423634,1.9888573402109422
Targets
id,x_position,y_position,z_position
1,28.556259614687306,45.65542557477479,82.7182119982024
2,27.490864655247393,36.944013660440945,15.973274549792471
3,53.55616661233819,58.141994238004116,39.27768928654931
4,64.12900491078074,48.735126774207686,54.63448368911769
5,25.325022439179044,24.688563074313098,56.02109420273007
6,89.18730765388024,18.067838485614484,90.9339336858697
7,57.57582536744595,71.31458036221872,52.48353854996772
8,69.00406916324727,13.469936937098826,45.96303612387111
9,52.06040342358238,84.00989327106045,30.98302208536956
10,70.849229992994,60.85725344791104,90.86534254299771
11,43.503779036858504,82.60634250095342,68.19490078201605
12,60.0376882016192,71.96274375204584,80.40357398233618
13,57.560776504012715,70.24438201022812,84.24630667603672
14,6.917407607670145,72.70932394664027,92.70149652145491
15,52.99747531574345,16.291487175787466,53.24018599966188
16,1.0071188950106946,41.94980629936511,91.87773458349675
17,66.15751480391704,22.21391137152623,85.38146257419307
18,59.629301140092394,28.28432970379515,16.131800083057403
19,4.324916705689363,75.47876252723812,67.07166412686874
20,73.20182867342032,62.82390823905839,61.75467308144935
21,31.61301648653754,45.986030342711004,11.982196190215488
22,13.269375225505941,93.50418629136776,84.51015684128323
23,21.32469616324377,28.136619538457776,57.26511315197525
24,98.09553763605257,24.370686005567666,59.240905598518154
25,68.39552956185044,63.65788841546311,70.13508065364431
26,80.05426939121058,29.8353366107149,78.62195691268813
27,87.00904410282078,52.573425293919094,30.16595910582579
28,19.383341333047543,15.653723936949627,48.781838686889735
29,73.69865485134557,46.657512928263756,69.74210891733233
30,18.72844999166947,49.279518701283095,35.665338100310464
31,27.678949056721446,39.30483635432317,77.41825410981643
32,13.438682206595853,95.06421043767763,23.640797079810184
33,55.79834011603681,74.1688211886557,34.07307602896104
34,98.92514919943318,4.05141695462704,93.29278430640873
35,40.106185885086745,61.11316289818952,93.51473149749721
36,40.89346823933738,73.72147339660434,35.64368287788501
37,16.864041917769658,25.5372371238062,67.59446125221598
38,50.23706748928991,53.4071203788533,34.796412822038526
39,39.54951312733914,78.80171195100652,45.183640336595765
40,72.33381816996841,98.04037029265565,77.89277045628013
41,11.853117032988036,87.12849761649963,34.14414479518041
42,62.33055380706137,50.790371887314755,49.84665037307251
43,34.938406888824034,82.50477687731323,71.83530970511154
44,12.612295942555185,56.72966249479457,13.459929016526866
45,65.8897927790948,70.24162580305249,71.55935281310033
46,54.92612252199714,96.29241890834447,37.12129058610771
47,22.481823414590707,60.04650877145311,44.712901860236585
48,59.542328419979775,15.282037537100578,54.09598807899538
49,77.78055265976847,34.655466470270305,12.311869868490401
50,22.344423364852094,97.09822000954779,58.00088923280376
